No,Date,Time,Pick Up,Drop Off,Ride Distance (km),Vehicle Type,Pickup Date,Pickup Time,Dropoff Date,Dropoff Time,Promo Value,Fare,Paid,Jam,Menit
37,9-Oct-19,18:11:26,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240",15.69,GrabCar, 9 Oct 2019,  18:20:02 ,9-Oct-19,  19:17:14 ,0,72000,72000,18,11
38,10-Oct-19,7:57:39,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. Jendral Sudirman Kav.58, Karet Semanggi, Senayan, Jakarta Selatan, 10270",3.57,GrabCar,10-Oct-19, 8:02:58 , 10 Oct 2019,8:17:15,0,20000,20000,7,57
39,10-Oct-19,17:49:02,"Jl. Jendral Sudirman Kav.58, Karet Semanggi, Senayan, Jakarta Selatan, 10270","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",3.79,GrabCar,10-Oct-19, 17:56:35 ,10-Oct-19,  18:09:27 ,0,46000,46000,17,49
40,11-Oct-19,7:05:21,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",15.53,GrabCar,11-Oct-19,  7:14:28 ,11-Oct-19,7:47:40,0,62000,62000,7,5
41,11-Oct-19,8:21:18,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",6.17,GrabCar, 11 Oct 2019, 8:26:06 ,11-Oct-19,  8:57:16 ,0,33000,33000,8,21
42,11-Oct-19,18:17:12,"Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940","Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240",20.04,GrabCar,11-Oct-19,  18:24:03 ,11-Oct-19, 19:32:20 ,0,110000,110000,18,17
43,13-Oct-19,19:21:38,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Kemandoran Raya, Grogol Utara, Kebayoran Lama, Jakarta Selatan, 12210",21.6,GrabCar,13-Oct-19, 7:28:50 ,13-Oct-19, 20:08:41 ,9000,73000,9000,19,21
44,14-Oct-19,8:37:36,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",5.64,GrabBike,14-Oct-19,  8:39:32 ,14-Oct-19,  8:57:31 ,7000,8000,7000,8,37
45,14-Oct-19,17:36:50,"Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",4.26,GrabBike, 14 Oct 2019,  17:40:01 ,14-Oct-19, 17:52:01 ,7000,4000,7000,17,36
46,15-Oct-19,8:21:56,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",6.17,GrabCar, 15 Oct 2019,  8:26:59 ,15-Oct-19, 9:04:41 ,9000,23000,9000,8,21
47,16-Oct-19,8:41:48,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",6.17,GrabCar,16-Oct-19,  8:45:15 ,16-Oct-19,  9:30:13 ,7000,25000,7000,8,41
48,17-Oct-19,8:54:42,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",6.17,GrabCar,17-Oct-19, 9:00:16 ,17-Oct-19, 9:29:51 ,7000,27000,7000,8,54
49,21-Oct-19,6:57:45,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",15.6,GrabCar,21-Oct-19, 7:05:19 ,21-Oct-19,  7:50:13 ,7000,52000,7000,6,57
50,21-Oct-19,8:27:47,"Jl. Cipaku I, Petogogan, Kebayoran Baru, Jakarta Selatan, 12170","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",5.65,GrabBike,21-Oct-19, 8:29:53 ,21-Oct-19, 8:51:22 ,7000,8000,7000,8,27
51,21-Oct-19,18:39:27,"Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",4.27,GrabBike,21-Oct-19, 18:41:55 ,21-Oct-19, 18:54:24 ,7000,4000,7000,18,39
52,21-Oct-19,18:57:58,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240",15.69,GrabCar, 21 Oct 2019,  19:05:34 ,21-Oct-19, 19:48:30,7000,59000,7000,18,57
53,22-Oct-19,7:25:31,"Praja Dalam K Street, Jl. Praja Dalam K, Kebayoran Lama Selatan, Kebayoran Lama, No. 3-7, South Jakarta, 12240","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",15.27,GrabCar,22-Oct-19, 7:35:04 ,22-Oct-19, 8:14:16 ,7000,52000,7000,7,25
54,22-Oct-19,8:22:39,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",5.83,GrabBike, 22 Oct 2019, 8:27:55 ,22-Oct-19,  8:48:07 ,7000,8000,7000,8,22
55,23-Oct-19,8:53:38,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",6.17,GrabCar,23-Oct-19,  8:57:34 ,23-Oct-19, 9:32:29 ,7000,25000,7000,8,53
56,24-Oct-19,8:36:30,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",6.17,GrabCar, 24 Oct 2019, 8:45:41 ,24-Oct-19,  9:15:26 ,7000,24000,7000,8,36
57,24-Oct-19,15:29:40,"Jl. Kyai Muhammad Syafii Hadzami, Kramat Pela, Kebayoran Baru, Jakarta Selatan, 12130","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",3.3,GrabCar,24-Oct-19, 15:40:01 ,24-Oct-19, 16:04:01 ,0,23000,23000,15,29
58,25-Oct-19,8:03:17,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",6.17,GrabCar,25-Oct-19, 8:08:06 ,25-Oct-19,  8:38:44 ,8000,22000,8000,8,3
59,25-Oct-19,17:39:58,"Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940","Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia",4.34,GrabBike,25-Oct-19, 17:48:08 ,25-Oct-19, 18:10:10 ,7000,4000,7000,17,39
60,28-Oct-19,8:37:41,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",5.79,GrabBike,28-Oct-19, 8:41:02 ,28-Oct-19,  9:02:27 ,0,15000,15000,8,37
61,29-Oct-19,8:55:44,"Jl. Cisanggiri III No.1, RT.9/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170, Indonesia","Jl. H.R. Rasuna Said Kav. C-22 A, Karet Kuningan, Setia Budi, Jakarta Selatan, 12940",6.17,GrabCar,29-Oct-19,  9:00:50 ,29-Oct-19, 9:46:11 ,7000,25000,7000,8,55
